IHDI Rank,Country,Human Development Index (HDI),Inequality-adjusted HDI (IHDI),IHDI Loss Percent,IHDI Rank Difference,Coefficient of Human Inequality,Inequality in Life Expectancy,Inequality-Adjusted Life Expectancy Index,Inequality in Education,Inequality-Adjusted Education Index,Inequality in Income,Inequality-Adjusted Income Index,Income Inequality (Quintile Ratio),Income Inequality (Palma Rati),Income Inequality (Gini Coefficient)
1,Norway,0.944,0.893,5.4,0,5.3,3.4,0.916,2.3,0.886,10.2,0.878,4.0,0.9,26.8
2,Australia,0.935,0.858,8.2,-2,7.9,4.2,0.920,1.9,0.914,17.7,0.752,5.8,1.3,34.0
3,Switzerland,0.930,0.861,7.4,0,7.3,3.9,0.931,5.7,0.816,12.3,0.839,5.2,1.2,32.4
4,Denmark,0.923,0.856,7.3,-1,7.1,4.0,0.889,3.0,0.897,14.4,0.787,4.0,0.9,26.9
5,Netherlands,0.922,0.861,6.6,3,6.5,3.9,0.911,4.1,0.858,11.6,0.817,4.5,1.0,28.9
6,Germany,0.916,0.853,6.9,0,6.7,3.7,0.902,2.4,0.871,14.1,0.790,4.7,1.1,30.6
6,Ireland,0.916,0.836,8.6,-3,8.5,3.7,0.902,5.4,0.858,16.3,0.756,5.3,1.2,32.1
8,United States,0.915,0.760,17.0,-20,15.7,6.2,0.853,5.3,0.842,35.6,0.610,9.8,2.0,41.1
9,Canada,0.913,0.832,8.8,-2,8.6,4.6,0.910,3.9,0.841,17.4,0.754,5.8,1.3,33.7
9,New Zealand,0.913,..,..,..,..,4.8,0.905,..,..,..,..,..,..,..
11,Singapore,0.912,..,..,..,..,2.8,0.942,..,..,..,..,..,..,..
12,"Hong Kong, China (SAR)",0.910,..,..,..,..,2.8,0.957,..,..,..,..,..,..,..
13,Liechtenstein,0.908,..,..,..,..,..,..,..,..,..,..,..,..,..
14,Sweden,0.907,0.846,6.7,3,6.5,3.1,0.927,3.5,0.813,13.1,0.804,3.7,0.9,26.1
14,United Kingdom,0.907,0.829,8.6,-2,8.4,4.5,0.892,2.8,0.860,17.8,0.742,7.6,1.7,38.0
16,Iceland,0.899,0.846,5.9,4,5.8,2.8,0.936,2.4,0.832,12.2,0.777,3.8,0.9,26.3
17,Korea (Republic of),0.898,0.751,16.4,-19,15.9,3.9,0.915,25.5,0.644,18.4,0.718,..,..,..
18,Israel,0.894,0.775,13.4,-9,12.9,3.8,0.923,9.9,0.776,25.0,0.649,10.3,2.2,42.8
19,Luxembourg,0.892,0.822,7.9,0,7.7,3.3,0.918,6.0,0.729,13.9,0.829,..,..,..
20,Japan,0.891,0.780,12.4,-5,12.2,3.2,0.945,19.8,0.649,13.5,0.773,5.4,1.2,32.1
21,Belgium,0.890,0.820,7.9,1,7.9,3.9,0.899,8.1,0.762,11.6,0.804,5.0,1.3,33.1
22,France,0.888,0.811,8.7,0,8.6,4.0,0.919,8.0,0.751,13.9,0.772,5.1,1.2,31.7
23,Austria,0.885,0.816,7.8,2,7.6,3.7,0.909,3.5,0.771,15.5,0.777,4.6,1.1,30.0
24,Finland,0.883,0.834,5.5,10,5.5,3.5,0.902,2.1,0.800,10.8,0.803,4.0,1.0,27.8
25,Slovenia,0.880,0.829,5.9,8,5.8,3.8,0.894,2.6,0.840,11.0,0.757,3.6,0.8,24.9
26,Spain,0.876,0.775,11.5,0,11.0,3.9,0.926,5.2,0.759,23.9,0.663,7.6,1.4,35.8
27,Italy,0.873,0.773,11.5,-1,11.3,3.4,0.938,10.6,0.700,19.8,0.702,6.9,1.4,35.5
28,Czech Republic,0.870,0.823,5.4,10,5.3,3.7,0.868,1.4,0.854,11.0,0.751,3.9,0.9,26.4
29,Greece,0.865,0.758,12.4,-5,12.1,4.0,0.899,11.6,0.735,20.6,0.660,6.4,1.4,34.7
30,Estonia,0.861,0.782,9.2,6,8.9,5.6,0.825,2.4,0.853,18.6,0.680,5.6,1.2,32.7
31,Brunei Darussalam,0.856,..,..,..,..,4.4,0.865,..,..,..,..,..,..,..
32,Cyprus,0.850,0.758,10.7,-2,10.6,3.7,0.892,13.1,0.673,15.0,0.727,..,..,..
32,Qatar,0.850,..,..,..,..,6.0,0.841,..,..,..,..,..,..,..
34,Andorra,0.845,..,..,..,..,..,..,..,..,..,..,..,..,..
35,Slovakia,0.844,0.791,6.2,9,6.2,5.6,0.818,1.5,0.813,11.3,0.744,4.1,0.9,26.6
36,Poland,0.843,0.760,9.8,2,9.6,5.7,0.833,5.6,0.778,17.5,0.678,5.2,1.3,32.8
37,Lithuania,0.839,0.754,10.1,-1,10.0,6.6,0.766,5.9,0.817,17.5,0.686,5.7,1.2,32.6
37,Malta,0.839,0.767,8.5,4,8.5,4.8,0.888,7.3,0.690,13.3,0.737,..,..,..
39,Saudi Arabia,0.837,..,..,..,..,8.7,0.762,..,..,..,..,..,..,..
40,Argentina,0.836,0.711,15.0,-8,14.5,9.3,0.786,8.1,0.759,26.3,0.601,10.6,2.3,43.6
41,United Arab Emirates,0.835,..,..,..,..,5.5,0.829,..,..,..,..,..,..,..
42,Chile,0.832,0.672,19.3,-13,18.2,5.9,0.893,12.6,0.655,36.0,0.519,12.6,3.3,50.8
43,Portugal,0.830,0.744,10.4,1,10.1,3.9,0.900,5.9,0.685,20.3,0.668,..,..,..
44,Hungary,0.828,0.769,7.2,10,7.1,5.4,0.803,3.2,0.789,12.6,0.717,4.5,1.0,28.9
45,Bahrain,0.824,..,..,..,..,6.3,0.816,..,..,..,..,..,..,..
46,Latvia,0.819,0.730,10.8,0,10.5,7.6,0.771,3.5,0.778,20.5,0.649,6.9,1.5,36.0
47,Croatia,0.818,0.743,9.1,3,8.9,5.2,0.836,4.3,0.745,17.2,0.659,5.3,1.4,33.6
48,Kuwait,0.816,..,..,..,..,7.2,0.776,..,..,..,..,..,..,..
49,Montenegro,0.802,0.728,9.2,1,9.2,7.6,0.799,7.4,0.735,12.6,0.658,4.7,1.1,30.6
50,Belarus,0.798,0.741,7.1,4,7.1,6.8,0.736,3.7,0.804,10.8,0.690,3.8,0.9,26.5
50,Russian Federation,0.798,0.714,10.5,1,10.3,9.8,0.695,2.3,0.788,18.7,0.664,7.3,1.8,39.7
52,Oman,0.793,..,..,..,..,7.0,0.813,..,..,..,..,..,..,..
52,Romania,0.793,0.711,10.3,2,10.2,8.8,0.768,4.7,0.719,17.1,0.651,4.1,0.9,27.3
52,Uruguay,0.793,0.678,14.5,-4,14.2,9.2,0.799,9.2,0.647,24.2,0.602,9.0,2.0,41.3
55,Bahamas,0.790,..,..,..,..,9.4,0.772,..,..,..,..,..,..,..
56,Kazakhstan,0.788,0.694,11.9,1,11.8,16.7,0.633,5.9,0.751,12.7,0.704,4.0,1.0,28.6
57,Barbados,0.785,..,..,..,..,8.1,0.786,5.5,0.734,..,..,..,..,..
58,Antigua and Barbuda,0.783,..,..,..,..,8.0,0.794,..,..,..,..,..,..,..
59,Bulgaria,0.782,0.699,10.5,3,10.4,7.9,0.768,5.5,0.710,17.8,0.627,6.4,1.4,34.3
60,Palau,0.780,..,..,..,..,..,..,12.0,0.696,23.0,0.570,..,..,..
60,Panama,0.780,0.604,22.5,-20,21.7,12.1,0.779,16.6,0.567,36.5,0.499,17.6,3.6,51.9
62,Malaysia,0.779,..,..,..,..,4.9,0.800,..,..,..,..,11.3,2.6,46.2
63,Mauritius,0.777,0.666,14.2,-2,14.1,9.2,0.760,13.2,0.623,19.8,0.625,5.9,1.5,35.9
64,Seychelles,0.772,..,..,..,..,7.9,0.752,..,..,..,..,18.8,6.4,65.8
64,Trinidad and Tobago,0.772,0.654,15.2,-3,15.0,16.4,0.648,6.6,0.659,21.9,0.656,..,..,..
66,Serbia,0.771,0.693,10.1,5,10.1,8.5,0.773,8.1,0.688,13.5,0.627,4.6,1.1,29.7
